ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
10519,Q99828,CIB1,14,Microvesicles
10529,O76041,NEBL,2,Microvesicles
10540,Q13561,DCTN2,11,Microparticles
10552,Q92747,ARPC1A,4,Microvesicles
10562,Q6UX06,OLFM4,4,Microparticles
10592,O95347,SMC2,12,Microvesicles
10598,O95433,AHSA1,8,Microparticles
10654,Q15126,PMVK,8,Microvesicles
10747,O00187,MASP2,3,Microparticles
10755,O14908,GIPC1,8,Microvesicles
10787,Q9Y2A7,NCKAP1,15,Microvesicles
10788,Q13576,IQGAP2,15,Microparticles
10875,Q14314,FGL2,2,Microvesicles
10893,Q9Y5R2,MMP24,2,Microparticles
10920,Q99627,COPS8,2,Microparticles
10938,Q9H4M9,EHD1,29,Microvesicles
10960,Q12907,LMAN2,17,Microparticles
10970,Q07065,CKAP4,10,Microvesicles
11034,P60981,DSTN,14,Microparticles
11045,O00322,UPK1A,2,Microparticles
11164,Q9UKK9,NUDT5,2,Microvesicles
11235,Q9BUL8,PDCD10,16,Microvesicles
11240,Q9Y2J8,PADI2,1,Microvesicles
11252,Q9UNF0,PACSIN2,13,Microvesicles
11261,Q99653,CHP1,15,Microvesicles
11267,Q96H20,SNF8,2,Microvesicles
11269,Q9UMR2,DDX19B,2,Microvesicles
11313,O95372,LYPLA2,4,Microvesicles
11315,Q99497,PARK7,25,Microvesicles
11332,O00154,ACOT7,12,Microvesicles
22875,Q9Y6X5,ENPP4,4,Microvesicles
22930,Q15042,RAB3GAP1,3,Microvesicles
22949,Q14914,PTGR1,4,Microvesicles
23193,Q14697,GANAB,28,Microparticles
23318,Q5TAX3,ZCCHC11,6,Microvesicles
23365,Q9NZN5,ARHGEF12,3,Microvesicles
23385,Q92542,NCSTN,14,Microvesicles
23446,Q8WWI5,SLC44A1,12,Microvesicles
23473,Q9Y6W3,CAPN7,1,Microparticles
23564,O95865,DDAH2,18,Microvesicles
23576,O94760,DDAH1,12,Microvesicles
23593,Q9Y5Z4,HEBP2,5,Microparticles
