ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES
5119,Q9HD42,CHMP1A,54
5134,Q16342,PDCD2,1
5151,O60658,PDE8A,5
5169,O14638,ENPP3,35
5172,O43511,SLC26A4,11
5174,Q5T2W1,PDZK1,32
5176,P36955,SERPINF1,85
5184,P12955,PEPD,48
5217,P35080,PFN2,62
5226,P52209,PGD,169
5236,P36871,PGM1,97
5243,P08183,ABCB1,52
5250,Q00325,SLC25A3,61
5265,P01009,SERPINA1,107
5267,P29622,SERPINA4,15
5269,P35237,SERPINB6,86
5275,Q9UIV8,SERPINB13,7
5284,P01833,PIGR,65
5286,O00443,PIK3C2A,28
5304,P12273,PIP,50
5310,P98161,PKD1,9
5311,Q13563,PKD2,8
5313,P30613,PKLR,54
5314,P08F94,PKHD1,9
5333,P51178,PLCD1,47
5351,Q02809,PLOD1,95
5357,Q14651,PLS1,80
5359,O15162,PLSCR1,75
5412,O95164,UBL3,38
5420,O00592,PODXL,86
5476,P10619,CTSA,52
5479,P23284,PPIB,133
5493,O60437,PPL,58
5510,Q15435,PPP1R7,61
5547,P42785,PRCP,31
5576,P13861,PRKAR2A,86
5578,P17252,PRKCA,55
5580,Q05655,PRKCD,36
5583,P24723,PRKCH,2
5584,P41743,PRKCI,38
5590,Q05513,PRKCZ,11
5621,F7VJQ1,PRNP,49
5621,P04156,PRNP,49
5652,Q16651,PRSS8,68
5657,P24158,PRTN3,26
5660,P07602,PSAP,71
5682,P25786,PSMA1,130
5684,P25788,PSMA3,134
5686,P28066,PSMA5,132
5691,P49720,PSMB3,125
5693,P28074,PSMB5,100
5705,P62195,PSMC5,106
5706,P62333,PSMC6,100
5709,O43242,PSMD3,106
5718,O00232,PSMD12,83
5783,Q12923,PTPN13,9
5800,Q16827,PTPRO,15
5860,P09417,QDPR,58
5865,P20337,RAB3B,60
5872,P51153,RAB13,114
5873,P51159,RAB27A,62
5910,P52306,RAP1GDS1,49
5917,P54136,RARS,103
5934,Q08999,RBL2,5
5950,P02753,RBP4,15
5962,P35241,RDX,151
5973,P51606,RENBP,32
5981,P35251,RFC1,5
6009,Q15382,RHEB,65
6092,Q9HCK4,ROBO2,26
6102,O75695,RP2,106
6205,P62280,RPS11,100
6222,P62269,RPS18,135
6237,P10301,RRAS,113
6239,Q92766,RREB1,4
6261,P21817,RYR1,8
6275,P26447,S100A4,66
6277,P06703,S100A6,106
6279,P05109,S100A8,99
6280,P06702,S100A9,89
6281,P60903,S100A10,84
6286,P25815,S100P,38
6317,P29508,SERPINB3,43
6318,P48594,SERPINB4,24
6336,Q9Y5Y9,SCN10A,9
6382,P18827,SDC1,64
6386,O00560,SDCBP,230
6396,P55735,SEC13,38
6398,Q8WVN6,SECTM1,24
6451,O75368,SH3BGRL,66
6470,P34896,SHMT1,61
6505,P43005,SLC1A1,43
6518,P22732,SLC2A5,45
6519,Q07837,SLC3A1,10
6520,P08195,SLC3A2,210
6521,P02730,SLC4A1,25
6523,P13866,SLC5A1,43
6524,P31639,SLC5A2,13
6540,Q9NSD5,SLC6A13,3
6550,P48764,SLC9A3,4
6557,Q13621,SLC12A1,49
6559,P55017,SLC12A3,23
6565,Q16348,SLC15A2,19
6576,P53007,SLC25A1,39
6582,O15244,SLC22A2,7
6584,O76082,SLC22A5,24
6608,Q99835,SMO,13
6623,O76070,SNCG,27
6647,P00441,SOD1,85
6652,Q00796,SORD,76
6653,Q92673,SORL1,38
6683,Q9UBP0,SPAST,33
6697,P35270,SPR,63
6707,Q9UBC9,SPRR3,11
6714,P12931,SRC,113
6717,P30626,SRI,120
6794,Q15831,STK11,3
6809,Q13277,STX3,54
6812,P61764,STXBP1,65
6813,Q15833,STXBP2,81
6845,P51809,VAMP7,46
6856,Q16563,SYPL1,75
6906,P05543,SERPINA7,47
7007,O75443,TECTA,24
7047,P49221,TGM4,20
7049,Q03167,TGFBR3,36
7052,P21980,TGM2,92
7057,P07996,THBS1,159
7070,P04216,THY1,80
7086,P29401,TKT,143
7105,O43657,TSPAN6,70
7113,O15393,TMPRSS2,32
7251,Q99816,TSG101,202
7264,Q13630,TSTA3,54
7266,Q99615,DNAJC7,46
7273,Q8WZ42,TTN,95
7280,Q13885,TUBB2A,115
7295,P10599,TXN,151
7326,P62253,UBE2G1,20
7348,O75841,UPK1B,24
7369,P07911,UMOD,29
7379,O00526,UPK2,17
7380,O75631,UPK3A,14
7402,P46939,UTRN,67
7419,Q9Y277,VDAC3,54
7429,P09327,VIL1,54
7450,P04275,VWF,53
7512,O43895,XPNPEP2,27
7531,P62258,YWHAE,247
7532,P61981,YWHAG,196
7533,Q04917,YWHAH,161
7827,Q9NP85,NPHS2,13
7832,P78543,BTG2,1
7841,Q13724,MOGS,45
7916,P48634,PRRC2A,5
8000,O43653,PSCA,44
8029,O60494,CUBN,22
8073,Q12974,PTP4A2,46
8291,O75923,DYSF,51
8407,P37802,TAGLN2,164
8411,Q15075,EEA1,52
8424,O75936,BBOX1,11
8428,Q9Y6E0,STK24,78
8450,Q13620,CUL4B,64
8452,Q13618,CUL3,49
8455,O75882,ATRN,66
8476,Q5VT25,CDC42BPA,31
8499,O75334,PPFIA2,1
8566,O00764,PDXK,75
8574,O43488,AKR7A2,68
8611,O14494,PPAP2A,33
8647,O95342,ABCB11,18
8649,Q9UHA4,LAMTOR3,18
8671,Q9Y6R1,SLC4A4,10
8673,Q9BV40,VAMP8,73
8724,O60493,SNX3,51
8735,Q9UKX3,MYH13,5
8773,O00161,SNAP23,154
8774,Q99747,NAPG,75
8775,P54920,NAPA,125
8789,O00757,FBP2,12
8796,O95171,SCEL,3
