ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,UNIPROT ID
8717,TRADD,22,Exosomes,Q15628
8732,RNGTT,2,Exosomes,O60942
8790,FPGT,1,Exosomes,O14772
8890,EIF2B4,24,Exosomes,Q9UI10
8891,EIF2B3,28,Exosomes,Q9NR50
8893,EIF2B5,23,Exosomes,Q13144
8986,RPS6KA4,3,Exosomes,O75676
9128,PRPF4,20,Exosomes,O43172
9208,LRRFIP1,41,Exosomes,Q32MZ4
9252,RPS6KA5,18,Exosomes,O75582
9262,STK17B,2,Exosomes,O94768
9328,GTF3C5,15,Exosomes,Q9Y5Q8
9332,CD163,3,Exosomes,Q86VB7
9439,MED23,17,Exosomes,Q9ULK4
9459,ARHGEF6,28,Exosomes,Q15052
9477,MED20,13,Exosomes,Q9H944
9557,CHD1L,1,Exosomes,Q86WJ1
9646,CTR9,17,Exosomes,Q6PD62
9675,TTI1,22,Exosomes,O43156
9716,AQR,23,Exosomes,O60306
9744,ACAP1,23,Exosomes,Q15027
9844,ELMO1,24,Exosomes,Q92556
9894,TELO2,20,Exosomes,Q9Y4R8
9907,AP5Z1,1,Exosomes,O43299
9920,KBTBD11,1,Exosomes,O94819
9978,RBX1,21,Exosomes,P62877
9991,PTBP3,19,Exosomes,O95758
10048,RANBP9,27,Exosomes,Q96S59
10171,RCL1,18,Exosomes,Q9Y2P8
10238,DCAF7,22,Exosomes,P61962
10277,UBE4B,31,Exosomes,O95155
10279,PRSS16,2,Exosomes,Q9NQE7
10286,BCAS2,27,Exosomes,O75934
10360,NPM3,18,Exosomes,O75607
10421,CD2BP2,1,Exosomes,O95400
10450,PPIE,23,Exosomes,Q9UNP9
10466,COG5,25,Exosomes,Q9UP83
10475,TRIM38,2,Exosomes,O00635
10482,NXF1,20,Exosomes,Q9UBU9
10526,IPO8,25,Exosomes,O15397
10535,RNASEH2A,17,Exosomes,O75792
10556,RPP30,24,Exosomes,P78346
10623,POLR3C,19,Exosomes,Q9BUI4
10659,CELF2,30,Exosomes,O95319
10776,ARPP19,1,Exosomes,P56211
10892,MALT1,6,Exosomes,Q9UDY8
10911,UTS2,1,Exosomes,O95399
11091,WDR5,4,Exosomes,P61964
11103,KRR1,29,Exosomes,Q13601
11128,POLR3A,34,Exosomes,O14802
11163,NUDT4,14,Exosomes,Q9NZJ9
11168,PSIP1,25,Exosomes,O75475
11276,SYNRG,7,Exosomes,Q9UMZ2
11284,PNKP,6,Exosomes,Q96T60
22894,DIS3,24,Exosomes,Q9Y2L1
22916,NCBP2,20,Exosomes,P52298
23012,STK38L,27,Exosomes,Q9Y2H1
