ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
671,P17213,BPI,3,Exosomes
684,Q10589,BST2,23,Exosomes
706,P30536,TSPO,1,Exosomes
710,P05155,SERPING1,19,Exosomes
726,O15484,CAPN5,11,Exosomes
727,P01031,C5,22,Exosomes
735,P02748,C9,19,Exosomes
754,P53801,PTTG1IP,10,Exosomes
760,P00918,CA2,15,Exosomes
762,P22748,CA4,7,Exosomes
781,P54289,CACNA2D1,12,Exosomes
793,P05937,CALB1,9,Exosomes
810,P27482,CALML3,11,Exosomes
814,Q16566,CAMK4,4,Exosomes
820,P49913,CAMP,1,Exosomes
830,P47755,CAPZA2,27,Exosomes
873,P16152,CBR1,29,Exosomes
928,P21926,CD9,107,Exosomes
929,P08571,CD14,7,Exosomes
950,Q14108,SCARB2,32,Exosomes
966,P13987,CD59,37,Exosomes
967,P08962,CD63,103,Exosomes
975,P60033,CD81,82,Exosomes
983,P06493,CDK1,20,Exosomes
998,P60953,CDC42,56,Exosomes
1048,P06731,CEACAM5,10,Exosomes
1071,P11597,CETP,2,Exosomes
1075,P53634,CTSC,11,Exosomes
1152,P12277,CKB,26,Exosomes
1173,Q96CW1,AP2M1,17,Exosomes
1191,P10909,CLU,60,Exosomes
1200,O14773,TPP1,19,Exosomes
1291,P12109,COL6A1,29,Exosomes
1293,P12111,COL6A3,14,Exosomes
1306,P39059,COL15A1,6,Exosomes
1312,P21964,COMT,9,Exosomes
1356,P00450,CP,17,Exosomes
1370,P22792,CPN2,4,Exosomes
1378,P17927,CR1,10,Exosomes
1382,P29373,CRABP2,9,Exosomes
1398,P46108,CRK,7,Exosomes
1410,P02511,CRYAB,6,Exosomes
1428,Q14894,CRYM,6,Exosomes
1429,Q08257,CRYZ,21,Exosomes
1465,P21291,CSRP1,12,Exosomes
1471,P01034,CST3,8,Exosomes
1476,P04080,CSTB,27,Exosomes
1491,P32929,CTH,8,Exosomes
1497,O60931,CTNS,2,Exosomes
1509,P07339,CTSD,28,Exosomes
1511,P08311,CTSG,10,Exosomes
1636,P12821,ACE,18,Exosomes
1642,Q16531,DDB1,17,Exosomes
1644,P20711,DDC,5,Exosomes
1652,P30046,DDT,9,Exosomes
1654,O00571,DDX3X,22,Exosomes
1655,P17844,DDX5,15,Exosomes
1675,P00746,CFD,3,Exosomes
1769,Q96JB1,DNAH8,9,Exosomes
1800,P16444,DPEP1,14,Exosomes
1803,P27487,DPP4,30,Exosomes
1807,Q14117,DPYS,8,Exosomes
1824,Q02487,DSC2,3,Exosomes
1830,P32926,DSG3,5,Exosomes
1832,P15924,DSP,30,Exosomes
1889,P42892,ECE1,12,Exosomes
1947,P98172,EFNB1,10,Exosomes
1950,P01133,EGF,10,Exosomes
1954,Q7Z7M0,MEGF8,6,Exosomes
1991,P08246,ELANE,5,Exosomes
2028,Q07075,ENPEP,7,Exosomes
2040,P27105,STOM,45,Exosomes
2053,P34913,EPHX2,5,Exosomes
2059,Q12929,EPS8,12,Exosomes
2091,P22087,FBL,9,Exosomes
2098,P10768,ESD,19,Exosomes
2125,Q92817,EVPL,7,Exosomes
2160,P03951,F11,1,Exosomes
2168,P07148,FABP1,5,Exosomes
2170,P05413,FABP3,7,Exosomes
2182,O60488,ACSL4,20,Exosomes
2184,P16930,FAH,9,Exosomes
2194,P49327,FASN,76,Exosomes
2195,Q14517,FAT1,13,Exosomes
2202,Q12805,EFEMP1,9,Exosomes
2203,P09467,FBP1,8,Exosomes
2220,Q15485,FCN2,3,Exosomes
2243,P02671,FGA,23,Exosomes
2266,P02679,FGG,21,Exosomes
2289,Q13451,FKBP5,6,Exosomes
2335,P02751,FN1,66,Exosomes
2444,P42685,FRK,12,Exosomes
2512,P02792,FTL,20,Exosomes
2517,P04066,FUCA1,7,Exosomes
2548,P10253,GAA,18,Exosomes
2561,P47870,GABRB2,1,Exosomes
2584,P51570,GALK1,11,Exosomes
2632,Q04446,GBE1,7,Exosomes
2658,Q9UK05,GDF2,1,Exosomes
2674,P56159,GFRA1,1,Exosomes
2683,P15291,B4GALT1,13,Exosomes
2712,Q14410,GK2,3,Exosomes
2720,P16278,GLB1,16,Exosomes
2734,Q92896,GLG1,16,Exosomes
2752,P15104,GLUL,4,Exosomes
2760,P17900,GM2A,9,Exosomes
2767,P29992,GNA11,24,Exosomes
2770,P63096,GNAI1,22,Exosomes
2776,P50148,GNAQ,22,Exosomes
2787,P63218,GNG5,15,Exosomes
2788,O60262,GNG7,9,Exosomes
2805,P17174,GOT1,26,Exosomes
2810,P31947,SFN,43,Exosomes
2819,P21695,GPD1,2,Exosomes
2823,P51674,GPM6A,5,Exosomes
2875,P24298,GPT,4,Exosomes
2879,P36969,GPX4,8,Exosomes
2894,Q9ULK0,GRID1,3,Exosomes
2934,P06396,GSN,54,Exosomes
2937,P48637,GSS,11,Exosomes
2938,P08263,GSTA1,12,Exosomes
2946,P28161,GSTM2,11,Exosomes
2990,P08236,GUSB,8,Exosomes
3043,P68871,HBB,46,Exosomes
3075,P08603,CFH,9,Exosomes
3081,Q93099,HGD,1,Exosomes
3094,P49773,HINT1,11,Exosomes
3176,P50135,HNMT,1,Exosomes
3191,P14866,HNRNPL,27,Exosomes
3242,P32754,HPD,2,Exosomes
3248,P15428,HPGD,9,Exosomes
3273,P04196,HRG,5,Exosomes
3301,P31689,DNAJA1,39,Exosomes
3306,P54652,HSPA2,43,Exosomes
3309,P11021,HSPA5,64,Exosomes
3315,P04792,HSPB1,53,Exosomes
3337,P25685,DNAJB1,14,Exosomes
3339,P98160,HSPG2,34,Exosomes
3383,P05362,ICAM1,34,Exosomes
3417,O75874,IDH1,28,Exosomes
3426,P05156,CFI,12,Exosomes
3483,P35858,IGFALS,4,Exosomes
3557,P18510,IL1RN,2,Exosomes
3664,O14896,IRF6,1,Exosomes
3672,P56199,ITGA1,8,Exosomes
3675,P26006,ITGA3,38,Exosomes
3685,P06756,ITGAV,34,Exosomes
3688,P05556,ITGB1,54,Exosomes
3692,P56537,EIF6,15,Exosomes
3696,P26012,ITGB8,6,Exosomes
3700,Q14624,ITIH4,20,Exosomes
3728,P14923,JUP,33,Exosomes
3795,P50053,KHK,3,Exosomes
3801,Q9BVG8,KIFC3,1,Exosomes
3816,P06870,KLK1,3,Exosomes
3827,P01042,KNG1,16,Exosomes
3911,O15230,LAMA5,29,Exosomes
3915,P11047,LAMC1,38,Exosomes
3916,P11279,LAMP1,32,Exosomes
3920,P13473,LAMP2,36,Exosomes
3929,P18428,LBP,2,Exosomes
3934,P80188,LCN2,4,Exosomes
3958,P17931,LGALS3,25,Exosomes
3959,Q08380,LGALS3BP,66,Exosomes
4036,P98164,LRP2,13,Exosomes
4059,P50895,BCAM,26,Exosomes
4069,P61626,LYZ,21,Exosomes
4072,P16422,EPCAM,44,Exosomes
4082,P29966,MARCKS,33,Exosomes
4121,P33908,MAN1A1,10,Exosomes
4124,Q16706,MAN2A1,12,Exosomes
4240,Q08431,MFGE8,54,Exosomes
4241,P08582,MFI2,21,Exosomes
4282,P14174,MIF,39,Exosomes
4300,P42568,MLLT3,1,Exosomes
4301,P55196,MLLT4,7,Exosomes
4311,P08473,MME,18,Exosomes
4332,P41218,MNDA,5,Exosomes
4353,P05164,MPO,10,Exosomes
4357,P25325,MPST,5,Exosomes
4430,O43795,MYO1B,18,Exosomes
4482,Q9UJ68,MSRA,2,Exosomes
4507,Q13126,MTAP,8,Exosomes
4582,P15941,MUC1,31,Exosomes
4621,P11055,MYH3,2,Exosomes
4641,O00159,MYO1C,38,Exosomes
4642,O94832,MYO1D,18,Exosomes
4645,Q9ULV0,MYO5B,8,Exosomes
4646,Q9UM54,MYO6,15,Exosomes
4669,P54802,NAGLU,6,Exosomes
4677,O43776,NARS,23,Exosomes
