ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,Uniprot
1491,CTH,7,Exosomes,P32929
1497,CTNS,1,Exosomes,O60931
1509,CTSD,60,Exosomes,P07339
1511,CTSG,20,Exosomes,P08311
1636,ACE,46,Exosomes,P12821
1642,DDB1,25,Exosomes,Q16531
1644,DDC,6,Exosomes,P20711
1652,DDT,25,Exosomes,P30046
1654,DDX3X,30,Exosomes,O00571
1655,DDX5,13,Exosomes,P17844
1675,CFD,6,Exosomes,P00746
1769,DNAH8,9,Exosomes,Q96JB1
1800,DPEP1,30,Exosomes,P16444
1803,DPP4,59,Exosomes,P27487
1807,DPYS,4,Exosomes,Q14117
1824,DSC2,6,Exosomes,Q02487
1830,DSG3,6,Exosomes,P32926
1832,DSP,57,Exosomes,P15924
1889,ECE1,13,Exosomes,P42892
1947,EFNB1,14,Exosomes,P98172
1950,EGF,19,Exosomes,P01133
1954,MEGF8,12,Exosomes,Q7Z7M0
1991,ELANE,12,Exosomes,P08246
2028,ENPEP,16,Exosomes,Q07075
2040,STOM,80,Exosomes,P27105
2053,EPHX2,14,Exosomes,P34913
2059,EPS8,32,Exosomes,Q12929
2091,FBL,5,Exosomes,P22087
2098,ESD,41,Exosomes,P10768
2125,EVPL,11,Exosomes,Q92817
2160,F11,3,Exosomes,P03951
2168,FABP1,14,Exosomes,P07148
2170,FABP3,13,Exosomes,P05413
2182,ACSL4,29,Exosomes,O60488
2184,FAH,16,Exosomes,P16930
2194,FASN,94,Exosomes,P49327
2195,FAT1,17,Exosomes,Q14517
2202,EFEMP1,12,Exosomes,Q12805
2203,FBP1,20,Exosomes,P09467
2220,FCN2,15,Exosomes,Q15485
2243,FGA,53,Exosomes,P02671
2266,FGG,49,Exosomes,P02679
2289,FKBP5,2,Exosomes,Q13451
2335,FN1,92,Exosomes,P02751
2444,FRK,21,Exosomes,P42685
2512,FTL,27,Exosomes,P02792
2517,FUCA1,12,Exosomes,P04066
2548,GAA,18,Exosomes,P10253
